date,open,high,low,close,volume
2022-05-19,6.0240497300,6.0240497300,5.9667687500,6.0145029000,7946018
2022-05-20,6.0145029000,6.0717838800,6.0145029000,6.0622370500,8212065
2022-05-23,6.0526902200,6.0717838800,6.0240497300,6.0717838800,5980836
2022-05-24,6.0813307100,6.1004243700,5.9954092400,6.0145029000,9972598
2022-05-25,5.9954092400,6.0335965600,5.9858624100,6.0240497300,5988460
2022-05-26,6.0240497300,6.0717838800,6.0049560700,6.0526902200,7360548
2022-05-27,6.0717838800,6.0813307100,6.0431433900,6.0813307100,9473900
2022-05-30,6.1004243700,6.1958926700,6.0908775400,6.1767990100,24273735
2022-05-31,6.1672521800,6.2149863300,6.1386116900,6.2054395000,9102134
2022-06-01,6.1767990100,6.2245331600,6.1672521800,6.2054395000,7795982
2022-06-02,6.1767990100,6.2149863300,6.1481585200,6.2054395000,8743218
2022-06-06,6.2054395000,6.2054395000,6.1672521800,6.1958926700,6627281
2022-06-07,6.1958926700,6.2818141400,6.1767990100,6.2340799900,13481609
2022-06-08,6.2245331600,6.2627204800,6.2149863300,6.2531736500,9201554
2022-06-09,6.2436268200,6.3295482900,6.2340799900,6.2722673100,14627180
2022-06-10,6.2436268200,6.3200014600,6.2149863300,6.2436268200,33904420
2022-06-13,6.2245331600,6.2340799900,6.1577053500,6.1863458400,14452671
2022-06-14,6.1577053500,6.2627204800,6.1577053500,6.2531736500,14070910
2022-06-15,6.2436268200,6.4441102500,6.2340799900,6.3486419500,43286892
2022-06-16,6.3581887800,6.3677356100,6.2531736500,6.2818141400,21691851
2022-06-17,6.2722673100,6.2913609700,6.2245331600,6.2531736500,12896236
2022-06-20,6.2340799900,6.2627204800,6.2149863300,6.2245331600,8266400
2022-06-21,6.2436268200,6.2531736500,6.2054395000,6.2245331600,6881892
2022-06-22,6.2245331600,6.2245331600,6.1481585200,6.1577053500,7381000
2022-06-23,6.1767990100,6.2149863300,6.1577053500,6.2149863300,6350105
2022-06-24,6.2245331600,6.2531736500,6.2149863300,6.2436268200,7327540
2022-06-27,6.2531736500,6.2722673100,6.2436268200,6.2531736500,8384700
2022-06-28,6.2627204800,6.3104546300,6.2245331600,6.3009078000,14290259
2022-06-29,6.3200014600,6.3486419500,6.2913609700,6.3200014600,19604732
2022-06-30,6.3000000000,6.3000000000,6.2500000000,6.2700000000,14874931
2022-07-01,6.2800000000,6.3200000000,6.2500000000,6.3100000000,10170883
2022-07-04,6.3200000000,6.3300000000,6.2600000000,6.3100000000,9237515
2022-07-05,6.3100000000,6.3400000000,6.2600000000,6.2800000000,10081658
2022-07-06,6.3300000000,6.3300000000,6.2500000000,6.2600000000,8822091
2022-07-07,6.2800000000,6.3000000000,6.2400000000,6.2700000000,8546644
2022-07-08,6.2900000000,6.2900000000,6.2600000000,6.2700000000,6223501
2022-07-11,6.2700000000,6.3000000000,6.2500000000,6.3000000000,7538351
2022-07-12,6.3200000000,6.3200000000,6.2700000000,6.3100000000,7296550
2022-07-13,6.3000000000,6.3000000000,6.2700000000,6.2700000000,7118224
2022-07-14,6.2600000000,6.2700000000,6.1500000000,6.1500000000,15991100
2022-07-15,6.1500000000,6.1800000000,6.1200000000,6.1200000000,9654153
2022-07-18,6.1300000000,6.2400000000,6.1300000000,6.2400000000,8440403
2022-07-19,6.2500000000,6.2900000000,6.2100000000,6.2800000000,7795905
2022-07-20,6.2900000000,6.3100000000,6.2800000000,6.3000000000,9416369
2022-07-21,6.3200000000,6.3300000000,6.2800000000,6.2900000000,7413095
2022-07-22,6.3200000000,6.3200000000,6.2700000000,6.2800000000,5288700
2022-07-25,6.3100000000,6.3100000000,6.2700000000,6.2900000000,4367467
2022-07-26,6.2800000000,6.3100000000,6.2700000000,6.3000000000,4425413
2022-07-27,6.2900000000,6.3100000000,6.2800000000,6.2900000000,3653400
2022-07-28,6.2900000000,6.3000000000,6.2700000000,6.2700000000,4590484
2022-07-29,6.2700000000,6.2900000000,6.2500000000,6.2600000000,5424513
2022-08-01,6.2600000000,6.2700000000,6.1900000000,6.2000000000,7511967
2022-08-02,6.2000000000,6.2000000000,6.0700000000,6.1000000000,13070929
2022-08-03,6.0800000000,6.1300000000,6.0500000000,6.0600000000,7762161
2022-08-04,6.0500000000,6.1100000000,6.0500000000,6.0800000000,6672891
2022-08-05,6.1000000000,6.1200000000,6.0600000000,6.1200000000,5231450
2022-08-08,6.1100000000,6.1400000000,6.0900000000,6.1100000000,3443849
2022-08-09,6.1200000000,6.1200000000,6.0700000000,6.0800000000,4106246
2022-08-10,6.0700000000,6.1000000000,6.0700000000,6.0900000000,3041408
2022-08-11,6.1000000000,6.1400000000,6.0800000000,6.1300000000,7291710
2022-08-12,6.1400000000,6.1400000000,6.1000000000,6.1300000000,5818460
2022-08-15,6.1200000000,6.1300000000,6.0900000000,6.1200000000,7149785
2022-08-16,6.1200000000,6.1200000000,6.1000000000,6.1000000000,5567231
2022-08-17,6.1200000000,6.1500000000,6.1000000000,6.1500000000,8515255
2022-08-18,6.1400000000,6.1600000000,6.1100000000,6.1200000000,5954281
2022-08-19,5.7100000000,5.8500000000,5.7100000000,5.7900000000,85786293
2022-08-22,5.7400000000,5.7500000000,5.6800000000,5.6800000000,50845781
2022-08-23,5.6800000000,5.6900000000,5.6200000000,5.6300000000,31158051
2022-08-24,5.6300000000,5.6600000000,5.6100000000,5.6100000000,21266530
2022-08-25,5.6200000000,5.6300000000,5.5900000000,5.6200000000,17047621
2022-08-26,5.6300000000,5.6300000000,5.6000000000,5.6100000000,10278158
2022-08-29,5.5800000000,5.6000000000,5.5700000000,5.6000000000,12420938
2022-08-30,5.5900000000,5.6100000000,5.5800000000,5.6100000000,10881752
2022-08-31,5.6000000000,5.6300000000,5.5900000000,5.6100000000,14944663
2022-09-01,5.6100000000,5.6200000000,5.5800000000,5.5900000000,12481900
2022-09-02,5.5900000000,5.6000000000,5.5700000000,5.5900000000,8390559
2022-09-05,5.5900000000,5.5900000000,5.5500000000,5.5800000000,17632386
2022-09-06,5.5900000000,5.6000000000,5.5800000000,5.5900000000,9780358
2022-09-07,5.5900000000,5.5900000000,5.5700000000,5.5800000000,8824556
2022-09-08,5.5900000000,5.6000000000,5.5700000000,5.5700000000,8891286
2022-09-09,5.5700000000,5.6200000000,5.5600000000,5.6200000000,18111684
2022-09-13,5.6200000000,5.6300000000,5.6000000000,5.6100000000,18162286
2022-09-14,5.5800000000,5.6000000000,5.5700000000,5.6000000000,9912785
2022-09-15,5.6100000000,5.6300000000,5.5700000000,5.5900000000,13266239
2022-09-16,5.5900000000,5.5900000000,5.5100000000,5.5800000000,31159387
2022-09-19,5.5300000000,5.5500000000,5.5100000000,5.5200000000,11745700
2022-09-20,5.5300000000,5.5400000000,5.5100000000,5.5300000000,9993033
2022-09-21,5.5300000000,5.5500000000,5.5000000000,5.5400000000,9103909
2022-09-22,5.5200000000,5.5400000000,5.5100000000,5.5200000000,6622884
2022-09-23,5.5200000000,5.5400000000,5.5100000000,5.5200000000,8223080
2022-09-26,5.5200000000,5.5200000000,5.3700000000,5.3800000000,16141585
2022-09-27,5.3800000000,5.4100000000,5.3300000000,5.3900000000,10633158
2022-09-28,5.3800000000,5.4300000000,5.3400000000,5.3700000000,10872693
2022-09-29,5.3700000000,5.4000000000,5.3000000000,5.3100000000,10164200
2022-09-30,5.3100000000,5.3400000000,5.3000000000,5.3100000000,9215922
2022-10-10,5.3000000000,5.3900000000,5.2800000000,5.3500000000,20659181
2022-10-11,5.3400000000,5.3800000000,5.3400000000,5.3600000000,7849900
2022-10-12,5.3700000000,5.3900000000,5.3300000000,5.3900000000,8954293
2022-10-13,5.3800000000,5.4000000000,5.3600000000,5.3900000000,6415550
2022-10-14,5.4000000000,5.4800000000,5.3900000000,5.4700000000,14993233
2022-10-17,5.4500000000,5.5300000000,5.4300000000,5.5200000000,11540836
2022-10-18,5.5200000000,5.5500000000,5.4900000000,5.5200000000,7527902
2022-10-19,5.5300000000,5.5300000000,5.4300000000,5.4500000000,7197100
2022-10-20,5.4500000000,5.4700000000,5.4300000000,5.4400000000,5222406
2022-10-21,5.4500000000,5.4600000000,5.3800000000,5.3900000000,7569526
2022-10-24,5.4100000000,5.4200000000,5.2900000000,5.3000000000,18749400
2022-10-25,5.2900000000,5.3200000000,5.2700000000,5.3000000000,11644229
2022-10-26,5.3000000000,5.3300000000,5.2800000000,5.3100000000,11086655
2022-10-27,5.3200000000,5.3300000000,5.2900000000,5.3000000000,10078716
2022-10-28,5.3000000000,5.3000000000,5.2400000000,5.2500000000,11599905
